Ben�mning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
------------------------------ ----------- ------------------------------------------------------------ ------------ ------------ ------------------ ------------------
385 Byfogdegatan 2                     385 Kristinedalsbadet                                               321881,00   6402224,00      57,7267709264      12,0087736126
386 Byfogdegatan 11                    386                                                                 322060,00   6402115,00      57,7258640972      12,0118556333
382 Gamlestadsv�gen 3.A                382 INDRAGEN UNDER OMBYGGNATION - F�rs�kringskassan                 321850,00   6402031,00      57,7250274762      12,0083968779
383 Kalenderv�gen 54                   383                                                                 323978,00   6405451,00      57,7565448124      12,0415706679
200 Fr�lunda Torg                      200 L�GE Y                                                          315642,00   6394143,00      57,6517733855      11,9103516269
201 Fr�lunda Sjukhus                   201 L�ge A                                                          315779,00   6394010,00      57,6506364271      11,9127451305
1800 Hj.Brantingspl.Hpl               1800 L�ge F                                                          318562,00   6401750,00      57,7212000000      11,9535000000
303 Aprilgatan 52                      303                                                                 324072,00   6406388,00      57,7649869457      12,0424610332
304 Gr�sm�nadsgatan 10                 304                                                                 324182,00   6406487,00      57,7659181259      12,0442348508
305 Aprilgatan 25                      305                                                                 324253,00   6406320,00      57,7644479079      12,0455489728
306 Junigatan 15                       306                                                                 324381,00   6406383,00      57,7650631297      12,0476513635
307 Aprilgatan 13                      307                                                                 324316,00   6406185,00      57,7632615403      12,0467053021
308 Decembergatan 2                    308                                                                 324238,00   6406026,00      57,7618047215      12,0455126415
309 Decembergatan 68                   309                                                                 324125,00   6405856,00      57,7602354334      12,0437406682
311 �rstidsgatan 36                    311                                                                 323912,00   6405873,00      57,7603044791      12,0401533843
312 �rstidsgatan 18                    312                                                                 323837,00   6405730,00      57,7589922765      12,0389997105
313 Julaftonsgatan 32                  313                                                                 323732,00   6405837,00      57,7599108707      12,0371588823
314 Brittsommargatan 8                 314                                                                 323804,00   6405859,00      57,7601364490      12,0383511528
315 Allhelgonagatan 17                 315                                                                 323784,00   6406043,00      57,7617791703      12,0378802559
316 F�rstamajgatan 11                  316 City Torget                                                     323654,00   6405584,00      57,7576107428      12,0360358015
317 Adventsv�gen 12                    317                                                                 323543,00   6405826,00      57,7597379554      12,0339949366
318 Annandagsgatan 13                  318                                                                 323593,00   6405962,00      57,7609776000      12,0347341236
319 V�rfrugatan 6                      319                                                                 323450,00   6406001,00      57,7612711467      12,0323054030
320 Aftongatan 25                      320                                                                 323582,00   6406182,00      57,7629467126      12,0343877117
901 H�gsbogatan 13                     901                                                                 316864,00   6396936,00      57,6773000000      11,9287000000
902 Bl�valsgatan 5.A                   902                                                                 316731,00   6396900,00      57,6769467019      11,9264792216
903 Svalebogatan 47.B                  903                                                                 316648,00   6396966,00      57,6775048775      11,9250394887
904 Tumlaregatan 41.B                  904                                                                 316656,00   6397126,00      57,6789433328      11,9250517905
905 Svalebogatan 48.A                  905 Inf.Sp�ckhuggaregatan                                           316726,00   6397101,00      57,6787475465      11,9262428443
321 L�vm�nadsgatan 5                   321                                                                 323505,00   6405440,00      57,7562604461      12,0336411716
322 � Midvintersgatan 18               322                                                                 323440,00   6405557,00      57,7572843825      12,0324642720
323 S�ndagsgatan 33                    323                                                                 323476,00   6405648,00      57,7581148562      12,0330014897
324 Helgdagsgatan 23                   324                                                                 323401,00   6405848,00      57,7598794166      12,0315955504
325 S�ndagsgatan 13                    325                                                                 323296,00   6405622,00      57,7578108557      12,0299998813
326 V Midvintersgatan 5                326                                                                 323268,00   6405473,00      57,7564632562      12,0296396795
327 Fastlagsgatan 12                   327 Nr.10-14                                                        323327,00   6405312,00      57,7550421901      12,0307482957
328 Fastlagsgatan 45                   328                                                                 323387,00   6405292,00      57,7548864295      12,0317699362
329 Decenniumgatan 8                   329                                                                 323048,00   6405389,00      57,7556230615      12,0260097575
330 Tider�kningsgatan 6                330                                                                 323111,00   6405265,00      57,7545355275      12,0271583242
331 Kortedala Torg 7.A                 331                                                                 323321,00   6404971,00      57,7519809395      12,0308987176
906 Sp�ckhuggareg.3.B                  906                                                                 316764,00   6397040,00      57,6782158875      11,9269253926
1011 Klarinettgatan 14                1011                                                                 316031,00   6395221,00      57,6616000000      11,9160000000
1012 Basungatan 1                     1012                                                                 316154,00   6395107,00      57,6606000000      11,9182000000
1013 Basungatan 23                    1013                                                                 316234,00   6395255,00      57,6620000000      11,9194000000
1014 Basungatan 38                    1014                                                                 316113,00   6395391,00      57,6632000000      11,9173000000
1015 Saxofongatan 4                   1015                                                                 316264,00   6395067,00      57,6603000000      11,9201000000
1016 Fl�jtgatan 25                    1016                                                                 316355,00   6395283,00      57,6623000000      11,9214000000
1017 Kaver�s �ng 7                    1017 �ldreboende Kaver�s �ng                                         316094,00   6395299,00      57,6623000000      11,9170000000
1022 Konsertgatan 9                   1022                                                                 316414,00   6395406,00      57,6634000000      11,9223000000
1023 Orkestergatan 9                  1023                                                                 316469,00   6395528,00      57,6645337480      11,9231360310
1024 Tunnlandsgatan 8                 1024 Stanna l�ngs med gatan                                          316448,00   6395631,00      57,6654490491      11,9227062061
1025 Tunnlandsgatan 13                1025 Kaver�s Centrum                                                 316311,00   6395639,00      57,6654649492      11,9204069931
1026 Barytongatan 26                  1026                                                                 316271,00   6395451,00      57,6637624397      11,9198806778
1027 Barytongatan 4                   1027                                                                 316205,00   6395777,00      57,6666595290      11,9185277408
1028 Kaver�sporten 1                  1028 Fr.Tunnlandsgatan                                               316525,00   6395824,00      57,6672115508      11,9238483132
1029 Dirigentgatan 1                  1029                                                                 316367,00   6395938,00      57,6681697614      11,9211169380
1031 Nymilsgatan 5                    1031                                                                 316615,00   6395185,00      57,6615166239      11,9258400481
1032 Sj�milsgatan 24                  1032                                                                 316764,00   6395237,00      57,6620000000      11,9283000000
1033 Sv�ngrumsgatan 2                 1033                                                                 316900,00   6395088,00      57,6608000000      11,9307000000
1034 Sv�ngrumsgatan 29                1034                                                                 316927,00   6395238,00      57,6621000000      11,9310000000
1035 Flat�skyrkan                     1035 Sv�ngrumsgatan 59                                               316951,00   6395396,00      57,6635000000      11,9313000000
1036 �gonm�ttsgatan 10                1036 Fr. Distansgatan                                                317059,00   6395210,00      57,6619000000      11,9333000000
1037 Synh�llsgatan Hpl                1037 L�ge B                                                          317170,00   6395433,00      57,6640000000      11,9349000000
1038 Halvtumsgatan 8                  1038 Fr. Distansgatan                                                317128,00   6395635,00      57,6658000000      11,9341000000
Ben�mning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
------------------------------ ----------- ------------------------------------------------------------ ------------ ------------ ------------------ ------------------
1039 Tv�rhandsgatan Hpl               1039 L�ge A                                                          317234,00   6395828,00      57,6675000000      11,9357000000
1040 Verktumsgatan 18                 1040                                                                 317002,00   6395552,00      57,6650000000      11,9320000000
1042 H�gsbo Sjukhus B.9               1042 STANNA BADET                                                    316857,00   6395778,00      57,6669340434      11,9294404416
1044 Lantmilsgatan 2                  1044                                                                 316619,00   6395792,00      57,6669628593      11,9254460773
1045 Skogsmilsgatan 13                1045                                                                 316712,00   6395725,00      57,6663996864      11,9270535654
1046 Lantmilsgatan 28                 1046                                                                 316626,00   6395590,00      57,6651537677      11,9257165641
1051 Kapplandsgatan 112               1051                                                                 317007,00   6396023,00      57,6692000000      11,9318000000
333 Hundra�rsgatan 17                  333                                                                 323276,00   6404806,00      57,7504831538      12,0302650236
334 Halvsekelsgatan 12                 334                                                                 323152,00   6404815,00      57,7505150496      12,0281778407
335 Kvartsekelsgatan 13                335                                                                 323200,00   6405031,00      57,7524715998      12,0288242394
336 Kvartsekelsgatan 5                 336                                                                 323087,00   6404916,00      57,7513954438      12,0270129082
337 Solst�ndsgatan 22                  337                                                                 322950,00   6405189,00      57,7537903714      12,0245127471
338 Gregorianska G.99                  338                                                                 322846,00   6404707,00      57,7494256565      12,0231234065
